"<string>:{series}:zhTW","<string>:{series}:jaJP","<string>:{series}:enUS","<string>:{name}:zhTW","<string>:{name}:jaJP","<string>:{name}:enUS","<number>:rare","<string>:type","<number>:attack","<number>:criticalRate","<number>:defense","<string>:{element}:{attack}:type","<number>:{element}:{attack}:minValue","<null>:{element}:{attack}:maxValue","<string>:{element}:{status}:type","<number>:{element}:{status}:minValue","<null>:{element}:{status}:maxValue","<number>:{sharpness}:red","<number>:{sharpness}:orange","<number>:{sharpness}:yellow","<number>:{sharpness}:green","<number>:{sharpness}:blue","<number>:{sharpness}:white","<null>:{sharpness}:purple","<number>:[slots]:{0}:size","<number>:[slots]:{1}:size","<number>:[slots]:{2}:size","<number>:{enhance}:amount","<string>:{enhance}:[list]:{0}:name","<string>:{enhance}:[list]:{1}:name","<string>:{enhance}:[list]:{2}:name","<string>:{enhance}:[list]:{3}:name","<string>:{enhance}:[list]:{4}:name","<string>:{enhance}:[list]:{5}:name","<string>:{enhance}:[list]:{6}:name","<string>:{enhance}:[list]:{7}:name","<string>:{enhance}:[list]:{8}:name","<string>:{enhance}:[list]:{9}:name","<string>:{enhance}:[list]:{10}:name","<string>:{enhance}:[list]:{11}:name","<string>:{enhance}:[list]:{12}:name","<string>:{enhance}:[list]:{13}:name","<string>:{enhance}:[list]:{14}:name","<string>:{enhance}:[list]:{15}:name","<string>:{enhance}:[list]:{16}:name","<string>:{enhance}:[list]:{17}:name","<string>:{enhance}:[list]:{18}:name","<string>:{enhance}:[list]:{19}:name","<string>:{enhance}:[list]:{20}:name","<string>:{enhance}:[list]:{21}:name","<string>:{enhance}:[list]:{22}:name","<string>:{enhance}:[list]:{23}:name","<string>:{enhance}:[list]:{24}:name","<string>:{enhance}:[list]:{25}:name","<string>:{enhance}:[list]:{26}:name","<string>:{enhance}:[list]:{27}:name","<string>:{enhance}:[list]:{28}:name","<string>:{enhance}:[list]:{29}:name","<string>:{enhance}:[list]:{30}:name","<string>:{enhance}:[list]:{31}:name","<string>:{enhance}:[list]:{32}:name","<string>:{enhance}:[list]:{33}:name","<string>:{enhance}:[list]:{34}:name"
"轟龍","轟剣【虎眼】","Sword & Shield Kamura","轟龍爪II","レックスクロウII","Rex Talon II","6","swordAndShield","210","-15","0","","","","","","","50","40","130","100","60","10","","","","","1","悔恨一擊","攻擊力強化II","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"轟龍","轟剣【虎眼】","Sword & Shield Kamura","轟劍【虎眼】","轟剣【虎眼】","Tigrex Sword","6","swordAndShield","220","-15","0","","","","","","","50","40","120","120","50","20","","","","","1","悔恨一擊","攻擊力強化III","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"冰屬性","ハイフロストエッジ","Sword & Shield Kamura","冰霜銳劍I","フロストエッジI","Frost Edge I","1","swordAndShield","80","0","0","ice","18","","","","","40","90","110","10","","","","","","","1","弱點特效【屬性】","攻擊力強化I","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"冰屬性","ハイフロストエッジ","Sword & Shield Kamura","冰霜銳劍II","フロストエッジII","Frost Edge II","2","swordAndShield","80","0","0","ice","24","","","","","30","70","70","12","","","","","","","1","弱點特效【屬性】","攻擊力強化I","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"冰屬性","ハイフロストエッジ","Sword & Shield Kamura","千年冰霜銳劍","ハイフロストエッジ","Hi Frost Edge","5","swordAndShield","150","0","0","ice","30","","","","","30","60","110","70","70","10","","1","1","1","1","弱點特效【屬性】","攻擊力強化III","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","重鉄剣フロシオン","Sword & Shield Ore","獵人小刀I","ハンターナイフI","Hunter's Knife I","1","swordAndShield","80","0","0","","","","","","","80","70","90","10","","","","","","","1","攻擊力強化I","會心率強化I","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","重鉄剣フロシオン","Sword & Shield Ore","獵人小刀II","ハンターナイフII","Hunter's Knife II","1","swordAndShield","100","0","0","","","","","","","70","50","120","10","","","","","","","1","攻擊力強化I","會心率強化I","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","重鉄剣フロシオン","Sword & Shield Ore","鬥士之劍","闘士の剣","Fighter Sword","2","swordAndShield","110","0","0","","","","","","","60","60","60","8","","","","","","","1","攻擊力強化II","會心率強化I","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","重鉄剣フロシオン","Sword & Shield Ore","初萌鐵劍I","鉄剣ジュネスI","Iron Beater I","3","swordAndShield","140","0","0","","","","","","","90","70","40","80","10","","","","","","1","攻擊力強化II","鐵蟲絲招式強化","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","重鉄剣フロシオン","Sword & Shield Ore","初萌鐵劍II","鉄剣ジュネスII","Iron Beater II","4","swordAndShield","170","0","0","","","","","","","70","80","80","50","60","10","","1","","","1","攻擊力強化II","鐵蟲絲招式強化","防禦力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","重鉄剣フロシオン","Sword & Shield Ore","花開重鐵劍","重鉄剣フロシオン","Smithy's Pride","5","swordAndShield","200","0","0","","","","","","","80","90","90","60","50","20","","1","","","1","攻擊力強化III","鐵蟲絲招式強化","防禦力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"狗龍","コマンドダガー","Sword & Shield Ore","士兵短劍I","ソルジャーダガーI","Soldier's Dagger I","5","swordAndShield","190","0","0","","","","","","","150","50","40","60","30","10","","1","","","1","會心率強化II","鈍刃一擊","防禦力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"狗龍","コマンドダガー","Sword & Shield Ore","士兵短劍II","ソルジャーダガーII","Soldier's Dagger II","5","swordAndShield","200","0","0","","","","","","","160","60","50","80","20","20","","1","1","","1","會心率強化II","鈍刃一擊","防禦力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"狗龍","コマンドダガー","Sword & Shield Ore","指揮官短劍","コマンドダガー","Commander's Dagger","6","swordAndShield","220","0","0","","","","","","","160","50","50","90","10","30","","1","1","","1","會心率強化III","鈍刃一擊","防禦力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"水屬性","マスターオデッセイ","Sword & Shield Ore","奧德賽之刃I","オデッセイブレイドI","Odyssey Blade I","4","swordAndShield","140","0","0","water","24","","","","","90","90","40","60","60","10","","2","","","1","弱點特效【屬性】","防禦力強化II","龍種特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"水屬性","マスターオデッセイ","Sword & Shield Ore","奧德賽之刃II","オデッセイブレイドII","Odyssey Blade II","5","swordAndShield","160","0","0","water","26","","","","","90","90","40","50","70","10","","3","","","1","弱點特效【屬性】","防禦力強化II","龍種特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"水屬性","マスターオデッセイ","Sword & Shield Ore","大師奧德賽","マスターオデッセイ","Master Odyssey","6","swordAndShield","170","0","0","water","33","","","","","100","100","50","60","60","20","","3","","","1","弱點特效【屬性】","防禦力強化III","龍種特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"毒妖鳥","毒妖剣ヒルヴグルム","Sword & Shield Ore","毒妖鳥單手劍I","ヒルバーソードI","Pukei Sword I","2","swordAndShield","110","0","0","","","","poison","15","","110","50","50","28","","","","","","","1","屬性強化【毒】I","攻擊力強化II","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"毒妖鳥","毒妖剣ヒルヴグルム","Sword & Shield Ore","毒妖鳥單手劍II","ヒルバーソードII","Pukei Sword II","5","swordAndShield","170","0","0","","","","poison","22","","60","60","70","90","20","","","2","1","","1","屬性強化【毒】II","攻擊力強化III","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"毒妖鳥","毒妖剣ヒルヴグルム","Sword & Shield Ore","毒妖劍希爾博古姆","毒妖剣ヒルヴグルム","Venomedge","6","swordAndShield","180","0","0","","","","poison","30","","100","60","80","80","70","10","","2","1","","1","屬性強化【毒】II","攻擊力強化III","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"火龍","イフリートマロウ","Sword & Shield Ore","灼焰銳劍I","バーンエッジI","Djinn I","3","swordAndShield","120","0","0","fire","18","","","","","30","100","60","100","10","","","","","","1","屬性強化【火】I","弱點特效【屬性】","攻擊力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"火龍","イフリートマロウ","Sword & Shield Ore","灼焰銳劍II","バーンエッジII","Djinn II","5","swordAndShield","190","0","0","fire","23","","","","","90","80","80","60","32","","","","","","1","屬性強化【火】I","弱點特效【屬性】","攻擊力強化II","屬性強化【毒】I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"火龍","イフリートマロウ","Sword & Shield Ore","炎靈之葵","イフリートマロウ","Blazing Falchion","6","swordAndShield","200","0","0","fire","33","","","","","50","40","110","100","90","10","","","","","1","屬性強化【火】I","弱點特效【屬性】","攻擊力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"冰牙龍","ナールドボッシェ","Sword & Shield Ore","冰尖利刃I","アイシクルスパイクI","Icicle Spike I","2","swordAndShield","90","30","0","ice","12","","","","","50","60","70","100","10","","","","","","1","冰異常特效","攻擊力強化II","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"冰牙龍","ナールドボッシェ","Sword & Shield Ore","冰尖利刃II","アイシクルスパイクII","Icicle Spike II","3","swordAndShield","120","30","0","ice","15","","","","","40","70","70","100","12","","","","","","1","冰異常特效","攻擊力強化III","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"冰牙龍","","Sword & Shield Ore","冰牙銳爪","ナールドボッシェ","Nardebosche","5","swordAndShield","160","35","0","ice","20","","","","","50","70","80","80","90","20","","2","1","","1","冰異常特效","攻擊力強化IV","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"河童蛙","蛙式・斬リカエシ","Sword & Shield Ore","頂膝後摔I","斬リカエシI","Cunning Riposte I","2","swordAndShield","100","0","10","water","8","","","","","30","70","80","12","","","","","","","1","屬性強化【水】I","鈍刃一擊","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"河童蛙","蛙式・斬リカエシ","Sword & Shield Ore","頂膝後摔II","斬リカエシII","Cunning Riposte II","3","swordAndShield","150","0","10","water","11","","","","","30","70","100","28","","","","","","","1","屬性強化【水】II","鈍刃一擊","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"河童蛙","蛙式・斬リカエシ","Sword & Shield Ore","蛙式・頂膝後摔","蛙式・斬リカエシ","Guard Breaker","4","swordAndShield","160","0","20","water","13","","","","","40","70","110","120","10","","","2","","","1","屬性強化【水】III","鈍刃一擊","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"奇怪龍","ペインフルレイザー","Sword & Shield Ore","奇怪龍薙刀I","フルレイザーI","Khezu Razor I","2","swordAndShield","80","10","0","thunder","21","","","","","70","60","40","8","","","","","","","1","屬性強化【雷】I","攻擊力強化II","雷異常特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"奇怪龍","ペインフルレイザー","Sword & Shield Ore","奇怪龍薙刀II","フルレイザーII","Khezu Razor II","2","swordAndShield","100","10","0","thunder","22","","","","","100","60","50","28","","","","","","","1","屬性強化【雷】I","攻擊力強化II","雷異常特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"奇怪龍","ペインフルレイザー","Sword & Shield Ore","奇怪龍痛苦薙刀","ペインフルレイザー","Painful Razor","4","swordAndShield","140","15","0","thunder","30","","","","","100","60","70","70","40","10","","2","1","","1","屬性強化【雷】II","攻擊力強化IV","雷異常特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"眠狗龍","レムオルニスナイフ","Sword & Shield Ore","淺眠小刀I","レムナイフI","Hypnos Knife I","1","swordAndShield","80","0","0","","","","sleep","17","","90","50","40","8","","","","","","","1","屬性強化【睡眠】I","會心率強化I","隨從指示術","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"眠狗龍","レムオルニスナイフ","Sword & Shield Ore","淺眠小刀II","レムナイフII","Hypnos Knife II","2","swordAndShield","90","0","0","","","","sleep","23","","100","60","50","28","","","","","","","1","屬性強化【睡眠】I","會心率強化II","隨從指示術","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"眠狗龍","レムオルニスナイフ","Sword & Shield Ore","沉眠小刀","レムオルニスナイフ","Morpheus Knife","4","swordAndShield","140","0","0","","","","sleep","26","","100","60","50","70","12","","","1","1","","1","屬性強化【睡眠】II","會心率強化II","隨從指示術","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","グランドバロング","Sword & Shield Bone","骨製曲刀I","ボーンククリI","Bone Kukri I","1","swordAndShield","90","0","0","","","","","","","70","90","28","","","","","","","","1","攻擊力強化II","會心率強化I","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","グランドバロング","Sword & Shield Bone","骨製曲刀II","ボーンククリII","Bone Kukri II","1","swordAndShield","110","0","0","","","","","","","80","70","40","","","","","","","","1","攻擊力強化II","會心率強化I","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","グランドバロング","Sword & Shield Bone","酋長曲刀","チーフククリ","Chief Kukri","2","swordAndShield","130","0","0","","","","","","","90","90","110","10","","","","","","","1","攻擊力強化II","會心率強化II","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","グランドバロング","Sword & Shield Bone","骨製巴龍刀I","ボーンバロングI","Bone Barong I","3","swordAndShield","150","0","0","","","","","","","100","70","70","50","","","","","","","1","攻擊力強化II","會心率強化II","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","グランドバロング","Sword & Shield Bone","骨製巴龍刀II","ボーンバロングII","Bone Barong II","4","swordAndShield","180","0","0","","","","","","","110","90","60","80","10","","","","","","1","攻擊力強化III","會心率強化II","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","グランドバロング","Sword & Shield Bone","大地巴龍刀","グランドバロング","Grand Barong","5","swordAndShield","190","0","0","","","","","","","80","70","80","100","10","","","","","","1","攻擊力強化IV","會心率強化II","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雌火龍","クイーンレイピア","Sword & Shield Bone","公主細劍I","プリンセスレイピアI","Princess Rapier I","5","swordAndShield","180","10","0","","","","poison","14","","60","70","90","100","20","","","","","","1","小型特效","屬性強化【毒】I","攻擊力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雌火龍","クイーンレイピア","Sword & Shield Bone","公主細劍II","プリンセスレイピアII","Princess Rapier II","6","swordAndShield","210","10","0","","","","poison","24","","100","40","110","70","60","10","","","","","1","小型特效","屬性強化【毒】I","攻擊力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雌火龍","クイーンレイピア","Sword & Shield Bone","女王細劍","クイーンレイピア","Queen Rapier","6","swordAndShield","220","10","0","","","","poison","28","","90","40","100","70","60","20","","","","","1","小型特效","屬性強化【毒】II","攻擊力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材2","ラグドスタバール","Sword & Shield Bone","骨之戰斧I","ボーンタバールI","Bone Tabar I","3","swordAndShield","160","-25","0","","","","","","","110","70","80","30","","","","","","","1","悔恨一擊","會心率強化II","水棲系特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材2","ラグドスタバール","Sword & Shield Bone","骨之戰斧II","ボーンタバールII","Bone Tabar II","4","swordAndShield","190","-25","0","","","","","","","110","90","60","70","10","","","2","","","1","悔恨一擊","會心率強化III","水棲系特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材2","ラグドスタバール","Sword & Shield Bone","拉客多斯戰斧","ラグドスタバール","Ragdos Tabar","6","swordAndShield","230","-25","0","","","","","","","130","110","50","30","70","10","","3","","","1","悔恨一擊","會心率強化IV","水棲系特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"土砂龍","ボルボスマッシュ","Sword & Shield Bone","土砂短錘I","ドラグロメイスI","Carapace Mace I","2","swordAndShield","120","-20","0","","","","","","","50","60","140","40","","","","","","","1","悔恨一擊","會心率強化I","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"土砂龍","ボルボスマッシュ","Sword & Shield Bone","土砂短錘II","ドラグロメイスII","Carapace Mace II","3","swordAndShield","150","-20","0","","","","","","","60","60","140","80","10","","","","","","1","悔恨一擊","會心率強化I","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"土砂龍","","Sword & Shield Bone","土砂衝擊","ボルボスマッシュ","Barroth Club","5","swordAndShield","200","-20","0","","","","","","","60","40","180","50","40","20","","1","1","","1","悔恨一擊","會心率強化II","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"角龍","クギバット","Sword & Shield Bone","角龍棒I","リベットクラブI","Studded Club I","3","swordAndShield","160","-5","0","","","","","","","60","40","50","110","30","","","","","","1","小型特效","會心率強化I","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"角龍","クギバット","Sword & Shield Bone","角龍棒II","リベットクラブII","Studded Club II","6","swordAndShield","220","-5","0","","","","","","","70","70","80","110","20","","","","","","1","小型特效","會心率強化II","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"角龍","クギバット","Sword & Shield Bone","狼牙棒","クギバット","Spiked Bat","6","swordAndShield","230","-5","0","","","","","","","40","60","80","120","40","","","","","","1","小型特效","會心率強化III","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"野豬","猛進剣【猪突】","Sword & Shield Bone","突進盾劍I","ラッシュタッグI","Brash Buddies I","2","swordAndShield","100","0","20","","","","","","","110","30","60","40","","","","","","","1","小型特效","防禦力強化I","鬼火鳥加倍","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"野豬","猛進剣【猪突】","Sword & Shield Bone","突進盾劍II","ラッシュタッグII","Brash Buddies II","3","swordAndShield","150","0","20","","","","","","","100","30","70","90","10","","","","","","1","小型特效","防禦力強化II","鬼火鳥加倍","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"野豬","猛進剣【猪突】","Sword & Shield Bone","猛進劍【豬突】","猛進剣【猪突】","Cocky Comrades","5","swordAndShield","180","0","25","","","","","","","140","20","60","70","50","10","","1","1","1","1","小型特效","防禦力強化II","鬼火鳥加倍","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"蠻顎龍","蛮顎剣フラムシーカ","Sword & Shield Bone","蠻顎龍劍I","フラムエルシーカI","Flammensucher I","5","swordAndShield","200","-20","0","fire","15","","","","","120","90","30","50","12","","","2","1","","1","屬性強化【火】II","悔恨一擊","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"蠻顎龍","蛮顎剣フラムシーカ","Sword & Shield Bone","蠻顎龍劍II","フラムエルシーカII","Flammensucher II","6","swordAndShield","210","-20","0","fire","18","","","","","130","110","40","50","16","","","2","1","","1","屬性強化【火】III","悔恨一擊","會心率強化II","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"蠻顎龍","蛮顎剣フラムシーカ","Sword & Shield Bone","蠻顎劍追尋者","蛮顎剣フラムシーカ","Gnashing Flammensucher","6","swordAndShield","220","-20","0","fire","21","","","","","120","110","40","50","20","","","2","1","","1","屬性強化【火】III","悔恨一擊","會心率強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雪鬼獸","ゴシャガザクゥ","Sword & Shield Bone","雪鬼獸菜刀I","ゴシャザクゥI","Mincing Blade I","3","swordAndShield","170","-15","0","ice","10","","","","","100","30","90","70","10","","","","","","1","屬性強化【冰】I","悔恨一擊","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雪鬼獸","ゴシャガザクゥ","Sword & Shield Bone","雪鬼獸菜刀II","ゴシャザクゥII","Mincing Blade II","6","swordAndShield","220","-15","0","ice","11","","","","","100","30","110","40","16","","","2","","","1","屬性強化【冰】II","悔恨一擊","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雪鬼獸","ゴシャガザクゥ","Sword & Shield Bone","雪鬼獸剁刀","ゴシャガザクゥ","Chef's Knife","6","swordAndShield","230","-15","0","ice","14","","","","","100","30","100","40","70","10","","2","","","1","屬性強化【冰】III","悔恨一擊","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"鎌鼬龍","ヴィンゼルシックル","Sword & Shield Bone","鐮鼬龍之鐮I","イーズルシックルI","Izuchi Sickle I","1","swordAndShield","60","10","0","","","","","","","30","70","140","10","","","","","","","1","小型特效","會心率強化I","隨從指示術","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"鎌鼬龍","ヴィンゼルシックル","Sword & Shield Bone","鐮鼬龍之鐮II","イーズルシックルII","Izuchi Sickle II","1","swordAndShield","80","12","0","","","","","","","30","70","60","20","","","","","","","1","小型特效","會心率強化II","隨從指示術","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"鎌鼬龍","ヴィンゼルシックル","Sword & Shield Bone","鐮鼬龍風鐮","ヴィンゼルシックル","Snapper Sickle","4","swordAndShield","150","15","0","","","","","","","30","80","50","60","20","","","2","1","","1","小型特效","會心率強化III","隨從指示術","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"熔岩獸","嘴剣ビッグビル","Sword & Shield Bone","熔岩啄木鳥I","ラーヴァピッカーI","Lava Pick I","2","swordAndShield","120","0","5","fire","10","","","","","160","30","60","40","","","","","","","1","火異常特效","鈍刃一擊","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"熔岩獸","嘴剣ビッグビル","Sword & Shield Bone","熔岩啄木鳥II","ラーヴァピッカーII","Lava Pick II","3","swordAndShield","150","0","8","fire","15","","","","","100","40","60","80","10","","","","","","1","火異常特效","鈍刃一擊","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"熔岩獸","嘴剣ビッグビル","Sword & Shield Bone","嘴劍巨喙","嘴剣ビッグビル","Burly Beak","5","swordAndShield","190","0","10","fire","17","","","","","40","40","70","150","40","","","1","1","1","1","火異常特效","鈍刃一擊","防禦力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲","セクトウノブラン","Sword & Shield Independent","靈魂劍零I","セクトセロI","Secta Nulo I","1","swordAndShield","80","0","0","","","","","","","100","30","60","","","","","","","","1","小型特效","會心率強化I","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲","セクトウノブラン","Sword & Shield Independent","靈魂劍壹","セクトウノ","Secta Unu","2","swordAndShield","90","0","0","","","","","","","90","20","20","48","","","","","","","1","小型特效","會心率強化I","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲","","Sword & Shield Independent","白魂劍零I","セクトセロブランI","Secta Nulo White I","3","swordAndShield","110","0","0","ice","17","","","","","140","20","20","110","10","","","","","","1","屬性強化【冰】II","鐵蟲絲招式強化","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲","セクトウノブラン","Sword & Shield Independent","白魂劍壹","セクトウノブラン","Secta Unu White","4","swordAndShield","140","0","0","ice","19","","","","","150","30","20","60","70","10","","3","1","","1","屬性強化【冰】IV","鐵蟲絲招式強化","防禦力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲(龍)","セクトウノノワール","Sword & Shield Independent","黑魂劍零I","セクトセロノワールI","Secta Nulo Black I","4","swordAndShield","140","0","0","dragon","19","","","","","150","30","20","60","80","10","","3","1","","1","弱點特效【屬性】","會心率強化II","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲(龍)","セクトウノノワール","Sword & Shield Independent","黑魂劍零II","セクトセロノワールII","Secta Nulo Black II","5","swordAndShield","160","0","0","dragon","21","","","","","140","20","20","70","80","10","","3","1","","1","弱點特效【屬性】","會心率強化II","防禦力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲(龍)","セクトウノノワール","Sword & Shield Independent","黑魂劍壹","セクトウノノワール","Secta Unu Black","6","swordAndShield","190","0","0","dragon","24","","","","","160","20","20","90","70","30","","3","1","","1","弱點特效【屬性】","會心率強化III","防禦力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲(麻痺)","セクトウノベルデ","Sword & Shield Independent","綠魂劍零I","セクトセロベルデI","Secta Nulo Green I","2","swordAndShield","100","0","0","","","","paralysis","14","","150","30","30","28","","","","","","","1","屬性強化【麻痺】I","會心率強化I","空棲系特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲(麻痺)","セクトウノベルデ","Sword & Shield Independent","綠魂劍壹","セクトウノベルデ","Secta Unu Green","5","swordAndShield","160","0","0","","","","paralysis","19","","140","30","30","70","70","10","","1","1","1","1","屬性強化【麻痺】II","會心率強化III","空棲系特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲(雷)","セクトウノジョーヌ","Sword & Shield Independent","黃魂劍零I","セクトセロジョーヌI","Secta Nulo Yellow I","2","swordAndShield","100","0","0","thunder","16","","","","","140","30","30","90","10","","","","","","1","弱點特效【屬性】","鐵蟲絲招式強化","防禦力強化II","防禦力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲(雷)","セクトウノジョーヌ","Sword & Shield Independent","黃魂劍壹","セクトウノジョーヌ","Secta Unu Yellow","5","swordAndShield","170","0","0","thunder","23","","","","","160","20","20","100","70","20","","2","2","","1","弱點特效【屬性】","鐵蟲絲招式強化","防禦力強化III","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲(火)","セクトウノルージュ","Sword & Shield Independent","紅魂劍零I","セクトセロルージュI","Secta Nulo Red I","1","swordAndShield","80","0","0","fire","11","","","","","100","40","30","16","","","","","","","1","小型特效","屬性強化【火】I","攻擊力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲(火)","セクトウノルージュ","Sword & Shield Independent","紅魂劍零II","セクトセロルージュII","Secta Nulo Red II","2","swordAndShield","90","0","0","fire","13","","","","","120","40","40","40","","","","","","","1","小型特效","屬性強化【火】II","攻擊力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"飛甲蟲(火)","セクトウノルージュ","Sword & Shield Independent","紅魂劍壹","セクトウノルージュ","Secta Unu Red","4","swordAndShield","140","0","0","fire","19","","","","","150","30","20","60","80","10","","3","1","","1","屬性強化【火】III","攻擊力強化III","龍種特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
