"<string>:{name}:zhTW","<string>:{name}:jaJP","<string>:{name}:enUS","<string>:{description}:zhTW","<string>:{description}:jaJP","<string>:{description}:enUS","<string>:level","<string>:{effect}:zhTW","<string>:{effect}:jaJP","<string>:{effect}:enUS"
"匠","匠","Handicraft","延長武器銳利度的計量表。但銳利度的計量表不會超過上限。","武器の斬れ味ゲージが長くなる。ただし、斬れ味ゲージの限界以上には長くならない。","Extends the weapon sharpness gauge. However, it will not increase the gauge past its maximum.","1","武器的銳利度+10。","武器の斬れ味+10。","Weapon sharpness +10"
"匠","匠","Handicraft","延長武器銳利度的計量表。但銳利度的計量表不會超過上限。","武器の斬れ味ゲージが長くなる。ただし、斬れ味ゲージの限界以上には長くならない。","Extends the weapon sharpness gauge. However, it will not increase the gauge past its maximum.","2","武器的銳利度+20。","武器の斬れ味+20。","Weapon sharpness +20"
"匠","匠","Handicraft","延長武器銳利度的計量表。但銳利度的計量表不會超過上限。","武器の斬れ味ゲージが長くなる。ただし、斬れ味ゲージの限界以上には長くならない。","Extends the weapon sharpness gauge. However, it will not increase the gauge past its maximum.","3","武器的銳利度+30。","武器の斬れ味+30。","Weapon sharpness +30"
"匠","匠","Handicraft","延長武器銳利度的計量表。但銳利度的計量表不會超過上限。","武器の斬れ味ゲージが長くなる。ただし、斬れ味ゲージの限界以上には長くならない。","Extends the weapon sharpness gauge. However, it will not increase the gauge past its maximum.","4","武器的銳利度+40。","武器の斬れ味+40。","Weapon sharpness +40"
"匠","匠","Handicraft","延長武器銳利度的計量表。但銳利度的計量表不會超過上限。","武器の斬れ味ゲージが長くなる。ただし、斬れ味ゲージの限界以上には長くならない。","Extends the weapon sharpness gauge. However, it will not increase the gauge past its maximum.","5","武器的銳利度+50。","武器の斬れ味+50。","Weapon sharpness +50"
"利刃","業物","Razor Sharp","銳利度消耗較少。","斬れ味の消耗を抑える。","Prevents your weapon from losing sharpness.","1","發動機率10%。","発動確率10%。","Activates 10% of the time."
"利刃","業物","Razor Sharp","銳利度消耗較少。","斬れ味の消耗を抑える。","Prevents your weapon from losing sharpness.","2","發動機率25%。","発動確率25%。","Activates 25% of the time."
"利刃","業物","Razor Sharp","銳利度消耗較少。","斬れ味の消耗を抑える。","Prevents your weapon from losing sharpness.","3","發動機率50%。","発動確率50%。","Activates 50% of the time."
"彈藥節約","弾丸節約","Spare Shot","發射時有低機率不消耗弩槍的彈藥及弓的瓶。","まれにボウガンの弾・弓のビンを消費せずに発射できる。","Bow and bowgun shots have a chance not to expend coatings or ammo.","1","發動機率3%。","発動確率3%。","Activates 3% of the time."
"彈藥節約","弾丸節約","Spare Shot","發射時有低機率不消耗弩槍的彈藥及弓的瓶。","まれにボウガンの弾・弓のビンを消費せずに発射できる。","Bow and bowgun shots have a chance not to expend coatings or ammo.","2","發動機率10%。","発動確率10%。","Activates 10% of the time."
"彈藥節約","弾丸節約","Spare Shot","發射時有低機率不消耗弩槍的彈藥及弓的瓶。","まれにボウガンの弾・弓のビンを消費せずに発射できる。","Bow and bowgun shots have a chance not to expend coatings or ammo.","3","發動機率20%。","発動確率20%。","Activates 20% of the time."
"剛刃研磨","剛刃研磨","Protective Polish","研磨武器後，一定時間內銳利度不會降低。","武器を研磨すると一定時間、斬れ味が下がらなくなる。","Weapon sharpness does not decrease for a set time after sharpening.","1","技能發動後，效果持續30秒。","発動後、30秒効果持続。","Effect lasts 30 seconds."
"剛刃研磨","剛刃研磨","Protective Polish","研磨武器後，一定時間內銳利度不會降低。","武器を研磨すると一定時間、斬れ味が下がらなくなる。","Weapon sharpness does not decrease for a set time after sharpening.","2","技能發動後，效果持續60秒。","発動後、60秒効果持続。","Effect lasts 60 seconds."
"剛刃研磨","剛刃研磨","Protective Polish","研磨武器後，一定時間內銳利度不會降低。","武器を研磨すると一定時間、斬れ味が下がらなくなる。","Weapon sharpness does not decrease for a set time after sharpening.","3","技能發動後，效果持續90秒。","発動後、90秒効果持続。","Effect lasts 90 seconds."
"心眼","心眼","Mind's Eye","攻擊較不易被彈開，提升對堅硬部位造成的傷害。","攻撃が弾かれ辛くなり、硬い部位へのダメージが上がる。","Your attacks are deflected less and deal more damage to hard targets.","1","攻擊有50%機率不會被彈開，對堅硬部位造成的傷害變為1.1倍。","50%の確率で弾かれず硬い部位へのダメージが1.1倍。","50% chance of your attacks not being deflected. (+10% damage to hard targets when activated)."
"心眼","心眼","Mind's Eye","攻擊較不易被彈開，提升對堅硬部位造成的傷害。","攻撃が弾かれ辛くなり、硬い部位へのダメージが上がる。","Your attacks are deflected less and deal more damage to hard targets.","2","攻擊有100%機率不會被彈開，對堅硬部位造成的傷害變為1.15倍。","100%の確率で弾かれず硬い部位へのダメージが1.15倍。","100% chance of your attacks not being deflected. (+15% damage to hard targets when activated)."
"心眼","心眼","Mind's Eye","攻擊較不易被彈開，提升對堅硬部位造成的傷害。","攻撃が弾かれ辛くなり、硬い部位へのダメージが上がる。","Your attacks are deflected less and deal more damage to hard targets.","3","攻擊有100%機率不會被彈開，對堅硬部位造成的傷害變為1.3倍。","100%の確率で弾かれず硬い部位へのダメージが1.3倍。","100% chance of your attacks not being deflected. (+30% damage to hard targets when activated)."
"彈道強化","弾導強化","Ballistics","彈藥、箭矢能發揮最大威力的距離增加。","弾・矢の最大威力状態になる距離が広くなる。","Extends the range in which ammo and arrows have maximum power.","1","適當距離小幅增加。","適正距離がわずかに広くなる。","Slightly extends range."
"彈道強化","弾導強化","Ballistics","彈藥、箭矢能發揮最大威力的距離增加。","弾・矢の最大威力状態になる距離が広くなる。","Extends the range in which ammo and arrows have maximum power.","2","適當距離增加。","適正距離が広くなる。","Extends range."
"彈道強化","弾導強化","Ballistics","彈藥、箭矢能發揮最大威力的距離增加。","弾・矢の最大威力状態になる距離が広くなる。","Extends the range in which ammo and arrows have maximum power.","3","適當距離大幅增加。","適正距離が大幅に広くなる。","Greatly extends range."
"鈍器能手","鈍器使い","Bludgeoner","銳利度較差時，攻擊力提升。","斬れ味が悪いとき攻撃力が上がる。","Increases attack power when your weapon sharpness is low.","1","銳利度在黃色以下時，攻擊力1.05倍。","斬れ味が黄色以下のとき攻撃力1.05倍。","+5% attack power when your weapon sharpness gauge is yellow or lower."
"鈍器能手","鈍器使い","Bludgeoner","銳利度較差時，攻擊力提升。","斬れ味が悪いとき攻撃力が上がる。","Increases attack power when your weapon sharpness is low.","2","銳利度在黃色以下時，攻擊力1.1倍。","斬れ味が黄色以下のとき攻撃力1.1倍。","+10% attack power when your sharpness gauge is yellow or lower."
"鈍器能手","鈍器使い","Bludgeoner","銳利度較差時，攻擊力提升。","斬れ味が悪いとき攻撃力が上がる。","Increases attack power when your weapon sharpness is low.","3","銳利度在綠色以下時，攻擊力1.1倍。","斬れ味が緑色以下のとき攻撃力1.1倍。","+10% attack power when your sharpness gauge is green or lower."
"解放弓的蓄力階段","弓溜め段階解放","Bow Charge Plus","弓的蓄力階段增加1個階段。","弓の溜め段階が1段階増える。","Increases max bow charge level by one.","1","發動技能效果。","スキル効果発動。","Activates skill effect."
"集中","集中","Focus","蓄力攻擊的蓄力速度提升，太刀、雙劍、斬擊斧、盾斧、弩槍的計量表更容易累積。","溜め攻撃の溜まる速度が速くなり、太刀、双剣、剣斧、盾斧、ボウガンのゲージが溜まりやすくなる。","Increases the fill rate for weapons with gauges and the charge rate for weapons with charge attacks.","1","計量表上升率5% UP，蓄力時間縮短5%。","ゲージ上昇率5%UP溜め時間5%短縮。","5% faster gauge fill rate and 5% faster charge times."
"集中","集中","Focus","蓄力攻擊的蓄力速度提升，太刀、雙劍、斬擊斧、盾斧、弩槍的計量表更容易累積。","溜め攻撃の溜まる速度が速くなり、太刀、双剣、剣斧、盾斧、ボウガンのゲージが溜まりやすくなる。","Increases the fill rate for weapons with gauges and the charge rate for weapons with charge attacks.","2","計量表上升率10% UP，蓄力時間縮短10%。","ゲージ上昇率10%UP溜め時間10%短縮。","10% faster gauge fill rate and 10% faster charge times."
"集中","集中","Focus","蓄力攻擊的蓄力速度提升，太刀、雙劍、斬擊斧、盾斧、弩槍的計量表更容易累積。","溜め攻撃の溜まる速度が速くなり、太刀、双剣、剣斧、盾斧、ボウガンのゲージが溜まりやすくなる。","Increases the fill rate for weapons with gauges and the charge rate for weapons with charge attacks.","3","計量表上升率20% UP，蓄力時間縮短15%。","ゲージ上昇率20%UP溜め時間15%短縮。","20% faster gauge fill rate and 15% faster charge times."
"強化持續","強化持続","Power Prolonger","以太刀、雙劍、操蟲棍、斬擊斧、盾斧發動的強化狀態持續時間增加。","太刀、双剣、操虫棍、剣斧、盾斧で発生する、強化状態の持続時間を長くする。","Long swords, dual blades, insect glaives, switch axes, and charge blades stay powered up longer.","1","稍微延長強化時間。","強化時間を少し延長。","Slightly boosts the duration weapons are powered up."
"強化持續","強化持続","Power Prolonger","以太刀、雙劍、操蟲棍、斬擊斧、盾斧發動的強化狀態持續時間增加。","太刀、双剣、操虫棍、剣斧、盾斧で発生する、強化状態の持続時間を長くする。","Long swords, dual blades, insect glaives, switch axes, and charge blades stay powered up longer.","2","延長強化時間。","強化時間を延長。","Boosts the duration weapons are powered up."
"強化持續","強化持続","Power Prolonger","以太刀、雙劍、操蟲棍、斬擊斧、盾斧發動的強化狀態持續時間增加。","太刀、双剣、操虫棍、剣斧、盾斧で発生する、強化状態の持続時間を長くする。","Long swords, dual blades, insect glaives, switch axes, and charge blades stay powered up longer.","3","大幅延長強化時間。","強化時間を大きく延長。","Greatly boosts the duration weapons are powered up."
"跑者","ランナー","Marathon Runner","進行衝刺等等漸漸消耗耐力的行動時，所需的耐力消耗量減低。","ダッシュなどの徐々にスタミナを消費する行動のスタミナ消費量が減少する。","Slows down stamina depletion for actions which continuously drain stamina (such as dashing).","1","持續耐力消耗量減少15%。","継続スタミナ消費量15%軽減。","Reduces continuous stamina depletion by 15%."
"跑者","ランナー","Marathon Runner","進行衝刺等等漸漸消耗耐力的行動時，所需的耐力消耗量減低。","ダッシュなどの徐々にスタミナを消費する行動のスタミナ消費量が減少する。","Slows down stamina depletion for actions which continuously drain stamina (such as dashing).","2","持續耐力消耗量減少30%。","継続スタミナ消費量30%軽減。","Reduces continuous stamina depletion by 30%."
"跑者","ランナー","Marathon Runner","進行衝刺等等漸漸消耗耐力的行動時，所需的耐力消耗量減低。","ダッシュなどの徐々にスタミナを消費する行動のスタミナ消費量が減少する。","Slows down stamina depletion for actions which continuously drain stamina (such as dashing).","3","持續耐力消耗量減少50%。","継続スタミナ消費量50%軽減。","Reduces continuous stamina depletion by 50%."
"體術","体術","Constitution","做出迴避等消耗固定耐力的動作時，減少所需的耐力消耗量。","回避などの固定でスタミナを消費する行動のスタミナ消費量が軽減される。","Reduces stamina depletion when evading, blocking, or doing certain other actions.","1","固定耐力消耗量減少10%。","固定スタミナ消費量10%軽減。","Reduces fixed stamina depletion by 10%."
"體術","体術","Constitution","做出迴避等消耗固定耐力的動作時，減少所需的耐力消耗量。","回避などの固定でスタミナを消費する行動のスタミナ消費量が軽減される。","Reduces stamina depletion when evading, blocking, or doing certain other actions.","2","固定耐力消耗量減少20%。","固定スタミナ消費量20%軽減。","Reduces fixed stamina depletion by 20%."
"體術","体術","Constitution","做出迴避等消耗固定耐力的動作時，減少所需的耐力消耗量。","回避などの固定でスタミナを消費する行動のスタミナ消費量が軽減される。","Reduces stamina depletion when evading, blocking, or doing certain other actions.","3","固定耐力消耗量減少30%。","固定スタミナ消費量30%軽減。","Reduces fixed stamina depletion by 30%."
"體術","体術","Constitution","做出迴避等消耗固定耐力的動作時，減少所需的耐力消耗量。","回避などの固定でスタミナを消費する行動のスタミナ消費量が軽減される。","Reduces stamina depletion when evading, blocking, or doing certain other actions.","4","固定耐力消耗量減少40%。","固定スタミナ消費量40%軽減。","Reduces fixed stamina depletion by 40%."
"體術","体術","Constitution","做出迴避等消耗固定耐力的動作時，減少所需的耐力消耗量。","回避などの固定でスタミナを消費する行動のスタミナ消費量が軽減される。","Reduces stamina depletion when evading, blocking, or doing certain other actions.","5","固定耐力消耗量減少50%。","固定スタミナ消費量50%軽減。","Reduces fixed stamina depletion by 50%."
"耐力急速回復","スタミナ急速回復","Stamina Surge","加快耐力的回復速度。","スタミナの回復速度が速くなる。","Speeds up stamina recovery.","1","回復速度1.1倍。","回復速度1.1倍。","Stamina recovery speed +10%"
"耐力急速回復","スタミナ急速回復","Stamina Surge","加快耐力的回復速度。","スタミナの回復速度が速くなる。","Speeds up stamina recovery.","2","回復速度1.2倍。","回復速度1.2倍。","Stamina recovery speed +20%"
"耐力急速回復","スタミナ急速回復","Stamina Surge","加快耐力的回復速度。","スタミナの回復速度が速くなる。","Speeds up stamina recovery.","3","回復速度1.4倍。","回復速度1.4倍。","Stamina recovery speed +40%"
"防禦性能","ガード性能","Guard","防禦時不易後仰，並減輕耐力的消耗。","ガード時にのけぞりにくくなり、消費スタミナも軽減される。","Reduces knockbacks and stamina depletion when guarding.","1","小幅減少攻擊威力。","攻撃の威力をわずかに軽減。","Very slightly decreases the impact of attacks."
"防禦性能","ガード性能","Guard","防禦時不易後仰，並減輕耐力的消耗。","ガード時にのけぞりにくくなり、消費スタミナも軽減される。","Reduces knockbacks and stamina depletion when guarding.","2","小幅減少攻擊威力，減少耐力消耗量15%。","攻撃の威力をわずかに軽減スタミナ消費量を15%軽減。","Slightly decreases the impact of attacks and reduces stamina depletion by 15%."
"防禦性能","ガード性能","Guard","防禦時不易後仰，並減輕耐力的消耗。","ガード時にのけぞりにくくなり、消費スタミナも軽減される。","Reduces knockbacks and stamina depletion when guarding.","3","減少攻擊威力，減少耐力消耗量15%。","攻撃の威力を軽減スタミナ消費量を15%軽減。","Decreases the impact of attacks and reduces stamina depletion by 15%."
"防禦性能","ガード性能","Guard","防禦時不易後仰，並減輕耐力的消耗。","ガード時にのけぞりにくくなり、消費スタミナも軽減される。","Reduces knockbacks and stamina depletion when guarding.","4","減少攻擊威力，減少耐力消耗量30%。","攻撃の威力を軽減スタミナ消費量を30%軽減。","Decreases the impact of attacks and reduces stamina depletion by 30%."
"防禦性能","ガード性能","Guard","防禦時不易後仰，並減輕耐力的消耗。","ガード時にのけぞりにくくなり、消費スタミナも軽減される。","Reduces knockbacks and stamina depletion when guarding.","5","大幅減少攻擊威力，減少耐力消耗量30%。","攻撃の威力を大きく軽減スタミナ消費量を30%軽減。","Greatly decreases the impact of attacks and reduces stamina depletion by 30%."
"防禦強化","ガード強化","Guard Up","可以防禦一般無法防禦的攻擊。","通常はガードできない攻撃も、ガードできるようになる。","Allows you to guard against ordinarily unblockable attacks.","1","減少傷害30%。","ダメージ軽減30%。","Reduces damage taken by 30%."
"防禦強化","ガード強化","Guard Up","可以防禦一般無法防禦的攻擊。","通常はガードできない攻撃も、ガードできるようになる。","Allows you to guard against ordinarily unblockable attacks.","2","減少傷害50%。","ダメージ軽減50%。","Reduces damage taken by 50%."
"防禦強化","ガード強化","Guard Up","可以防禦一般無法防禦的攻擊。","通常はガードできない攻撃も、ガードできるようになる。","Allows you to guard against ordinarily unblockable attacks.","3","減少傷害80%。","ダメージ軽減80%。","Reduces damage taken by 80%."
"攻擊守勢","攻めの守勢","Offensive Guard","抓準時機防禦成功的話，會提升一定時間的攻擊力。","タイミング良くガードを成功させると、一定時間、攻撃力が上がる。","Temporarily increases attack power after executing a perfectly-timed guard.","1","技能發動時，攻擊力1.05倍。","スキル発動中、攻撃力1.05倍。","Attack +5% while active."
"攻擊守勢","攻めの守勢","Offensive Guard","抓準時機防禦成功的話，會提升一定時間的攻擊力。","タイミング良くガードを成功させると、一定時間、攻撃力が上がる。","Temporarily increases attack power after executing a perfectly-timed guard.","2","技能發動時，攻擊力1.1倍。","スキル発動中、攻撃力1.1倍。","Attack +10% while active."
"攻擊守勢","攻めの守勢","Offensive Guard","抓準時機防禦成功的話，會提升一定時間的攻擊力。","タイミング良くガードを成功させると、一定時間、攻撃力が上がる。","Temporarily increases attack power after executing a perfectly-timed guard.","3","技能發動時，攻擊力1.15倍。","スキル発動中、攻撃力1.15倍。","Attack +15% while active."
"拔刀術【技】","抜刀術【技】","Critical Draw","武器拔刀攻擊後，會提升一定時間的會心率。(鐵蟲絲招式除外)。","武器出し攻撃後一定時間、会心率が上がる。(鉄蟲糸技は除く)。","Increases affinity for a short time after performing a draw attack. (Does not include Silkbind attacks.)","1","會心率+10%。","会心率+10%。","Affinity +10%"
"拔刀術【技】","抜刀術【技】","Critical Draw","武器拔刀攻擊後，會提升一定時間的會心率。(鐵蟲絲招式除外)。","武器出し攻撃後一定時間、会心率が上がる。(鉄蟲糸技は除く)。","Increases affinity for a short time after performing a draw attack. (Does not include Silkbind attacks.)","2","會心率+20%。","会心率+20%。","Affinity +20%"
"拔刀術【技】","抜刀術【技】","Critical Draw","武器拔刀攻擊後，會提升一定時間的會心率。(鐵蟲絲招式除外)。","武器出し攻撃後一定時間、会心率が上がる。(鉄蟲糸技は除く)。","Increases affinity for a short time after performing a draw attack. (Does not include Silkbind attacks.)","3","會心率+40%。","会心率+40%。","Affinity +40%"
"拔刀術【力】","抜刀術【力】","Punishing Draw","追加、強化武器拔刀攻擊所引起昏厥的能力，攻擊力也會小幅提升。(鐵蟲絲招式除外)。","武器出し攻撃に気絶を誘発する力が追加・強化され、攻撃力も少し上がる。(鉄蟲糸技は除く)。","Adds a stun effect to draw attacks and slightly increases attack power. (Does not include Silkbind attacks.)","1","小幅附加引起昏厥的能力。武器拔刀攻擊的攻擊力+3。","気絶を誘発する効果がわずかに付く。武器出し攻撃の攻撃力+3。","Draw attacks deal a small amount of stun damage and get attack +3."
"拔刀術【力】","抜刀術【力】","Punishing Draw","追加、強化武器拔刀攻擊所引起昏厥的能力，攻擊力也會小幅提升。(鐵蟲絲招式除外)。","武器出し攻撃に気絶を誘発する力が追加・強化され、攻撃力も少し上がる。(鉄蟲糸技は除く)。","Adds a stun effect to draw attacks and slightly increases attack power. (Does not include Silkbind attacks.)","2","附加引起昏厥的能力。武器拔刀攻擊的攻擊力+5。","気絶を誘発する効果が付く。武器出し攻撃の攻撃力+5。","Draw attacks deal a small amount of stun damage and get attack +5."
"拔刀術【力】","抜刀術【力】","Punishing Draw","追加、強化武器拔刀攻擊所引起昏厥的能力，攻擊力也會小幅提升。(鐵蟲絲招式除外)。","武器出し攻撃に気絶を誘発する力が追加・強化され、攻撃力も少し上がる。(鉄蟲糸技は除く)。","Adds a stun effect to draw attacks and slightly increases attack power. (Does not include Silkbind attacks.)","3","大幅附加引起昏厥的能力。武器拔刀攻擊的攻擊力+7。","気絶を誘発する効果が大きく付く。武器出し攻撃の攻撃力+7。","Draw attacks deal a small amount of stun damage and get attack +7."
"收刀術","納刀術","Quick Sheath","加快收起武器的速度。","武器をしまう速度が速くなる。","Speeds up weapon sheathing.","1","速度小幅上升。","速度がわずかに上昇する。","Slightly increases sheathing speed."
"收刀術","納刀術","Quick Sheath","加快收起武器的速度。","武器をしまう速度が速くなる。","Speeds up weapon sheathing.","2","速度上升。","速度が上昇する。","Moderately increases sheathing speed."
"收刀術","納刀術","Quick Sheath","加快收起武器的速度。","武器をしまう速度が速くなる。","Speeds up weapon sheathing.","3","速度大幅上升。","速度がかなり上昇する。","Greatly increases sheathing speed."
"KO術","KO術","Slugger","更容易讓魔物陷入昏厥狀態。","モンスターを気絶状態にしやすくなる。","Makes it easier to stun monsters.","1","昏厥威力1.2倍。","気絶威力1.2倍。","Stun power +20%"
"KO術","KO術","Slugger","更容易讓魔物陷入昏厥狀態。","モンスターを気絶状態にしやすくなる。","Makes it easier to stun monsters.","2","昏厥威力1.3倍。","気絶威力1.3倍。","Stun power +30%"
"KO術","KO術","Slugger","更容易讓魔物陷入昏厥狀態。","モンスターを気絶状態にしやすくなる。","Makes it easier to stun monsters.","3","昏厥威力1.4倍。","気絶威力1.4倍。","Stun power +40%"
"奪取耐力","スタミナ奪取","Stamina Thief","特定攻擊會更容易使魔物疲勞。","特定の攻撃が持つ、モンスターを疲れさせる効果が上がる。","Increases certain attacks' ability to exhaust monsters.","1","減氣威力1.2倍。","減気威力1.2倍。","Exhaust power +20%"
"奪取耐力","スタミナ奪取","Stamina Thief","特定攻擊會更容易使魔物疲勞。","特定の攻撃が持つ、モンスターを疲れさせる効果が上がる。","Increases certain attacks' ability to exhaust monsters.","2","減氣威力1.3倍。","減気威力1.3倍。","Exhaust power +30%"
"奪取耐力","スタミナ奪取","Stamina Thief","特定攻擊會更容易使魔物疲勞。","特定の攻撃が持つ、モンスターを疲れさせる効果が上がる。","Increases certain attacks' ability to exhaust monsters.","3","減氣威力1.4倍。","減気威力1.4倍。","Exhaust power +40%"
"滑走強化","滑走強化","Affinity Sliding","進行滑行後，一定時間內會心率會上升。","スライディングを行うことで、一定時間会心率が上がる。","Sliding increases your affinity for a short time.","1","可發動技能。","スキル発動可能。","Enables skill use."
"吹笛名人","笛吹き名人","Horn Maestro","加快狩獵笛演奏與多重演奏的速度，提升衝擊波的傷害。","狩猟笛の演奏と多重演奏が素早くなり、衝撃波のダメージが上がる。","Increases overall performance speed and shockwave damage.","1","發動技能效果。","スキル効果発動。","Activates skill effect."
"砲術","砲術","Artillery","銃槍的砲擊、龍擊砲、盾斧的瓶攻擊、徹甲榴彈等伴隨爆炸的攻擊，威力將會上升。","ガンランスの砲撃、竜撃砲、盾斧のビン攻撃、徹甲榴弾など、爆発を伴う攻撃の威力が上昇。","Strengthens explosive attacks like shells, Wyvern's Fire, charge blade phial attacks, and Sticky Ammo.","1","對象的攻擊威力1.1倍，減少龍擊砲的冷卻時間15%。","対象の攻撃威力1.1倍竜撃砲の冷却時間が15%減少。","Increases power of each attack by 10% and reduces Wyvern's Fire cooldown by 15%."
"砲術","砲術","Artillery","銃槍的砲擊、龍擊砲、盾斧的瓶攻擊、徹甲榴彈等伴隨爆炸的攻擊，威力將會上升。","ガンランスの砲撃、竜撃砲、盾斧のビン攻撃、徹甲榴弾など、爆発を伴う攻撃の威力が上昇。","Strengthens explosive attacks like shells, Wyvern's Fire, charge blade phial attacks, and Sticky Ammo.","2","對象的攻擊威力1.2倍，減少龍擊砲的冷卻時間30%。","対象の攻撃威力1.2倍竜撃砲の冷却時間が30%減少。","Increases power of each attack by 20% and reduces Wyvern's Fire cooldown by 30%."
"砲術","砲術","Artillery","銃槍的砲擊、龍擊砲、盾斧的瓶攻擊、徹甲榴彈等伴隨爆炸的攻擊，威力將會上升。","ガンランスの砲撃、竜撃砲、盾斧のビン攻撃、徹甲榴弾など、爆発を伴う攻撃の威力が上昇。","Strengthens explosive attacks like shells, Wyvern's Fire, charge blade phial attacks, and Sticky Ammo.","3","對象的攻擊威力1.3倍，減少龍擊砲的冷卻時間50%。","対象の攻撃威力1.3倍竜撃砲の冷却時間が50%減少。","Increases power of each attack by 30% and reduces Wyvern's Fire cooldown by 50%."
"砲彈裝填","砲弾装填","Load Shells","裝填砲彈變得更加流暢，增加銃槍的裝填數與盾斧的充能數量。","砲弾の装填がスムーズになりガンランスの装填数が上昇、盾斧のチャージ数が増える。","Improves reloading, and increases the gunlance's shell capacity and charge blade's phial capacity.","1","加快彈與瓶的裝填速度。","弾とビンの装填が速くなる。","Increases ammo and coating reloading speed."
"砲彈裝填","砲弾装填","Load Shells","裝填砲彈變得更加流暢，增加銃槍的裝填數與盾斧的充能數量。","砲弾の装填がスムーズになりガンランスの装填数が上昇、盾斧のチャージ数が増える。","Improves reloading, and increases the gunlance's shell capacity and charge blade's phial capacity.","2","銃槍的裝填數額外+1提升盾斧的充能數量。","更にガンランスの装填数+1盾斧のチャージ数上昇。","Gunlance loading capacity +1 Increases charge blade phials"
"特殊射擊強化","特殊射撃強化","Special Ammo Boost","提升弩槍的特殊彈藥與弓的龍之箭威力。","ボウガンの特殊弾と弓の竜の一矢の威力が上がる。","Increases the power of bowgun special ammo and Dragon Piercer.","1","弩槍的特殊彈藥與弓的龍之箭威力變為1.1倍。","ボウガンの特殊弾と弓の竜の一矢の威力が1.1倍。","Increases power of bowgun special ammo and Dragon Piercer by 10%."
"特殊射擊強化","特殊射撃強化","Special Ammo Boost","提升弩槍的特殊彈藥與弓的龍之箭威力。","ボウガンの特殊弾と弓の竜の一矢の威力が上がる。","Increases the power of bowgun special ammo and Dragon Piercer.","2","弩槍的特殊彈藥與弓的龍之箭威力變為1.2倍。","ボウガンの特殊弾と弓の竜の一矢の威力が1.2倍。","Increases power of bowgun special ammo and Dragon Piercer by 20%."
"通常彈・連射箭強化","通常弾・連射矢強化","Normal/Rapid Up","提升弩槍通常彈或是弓的連射箭的攻擊力。","ボウガンの通常弾または弓の連射矢の攻撃力が上がる。","Increases the attack power of Normal Ammo and Rapid-type arrows.","1","小幅提升通常彈、連射箭的威力。","通常弾、連射矢の威力をわずかにUP。","Slightly increases the power of Normal Ammo and Rapid-type arrows."
"通常彈・連射箭強化","通常弾・連射矢強化","Normal/Rapid Up","提升弩槍通常彈或是弓的連射箭的攻擊力。","ボウガンの通常弾または弓の連射矢の攻撃力が上がる。","Increases the attack power of Normal Ammo and Rapid-type arrows.","2","提升通常彈、連射箭的威力。","通常弾、連射矢の威力UP。","Increases the power of Normal Ammo and Rapid-type arrows."
"通常彈・連射箭強化","通常弾・連射矢強化","Normal/Rapid Up","提升弩槍通常彈或是弓的連射箭的攻擊力。","ボウガンの通常弾または弓の連射矢の攻撃力が上がる。","Increases the attack power of Normal Ammo and Rapid-type arrows.","3","大幅提升通常彈、連射箭的威力。","通常弾、連射矢の威力をさらにUP。","Greatly increases the power of Normal Ammo and Rapid-type arrows."
"貫通彈・貫通箭強化","貫通弾・貫通矢強化","Pierce Up","提升弩槍貫通彈或是弓的貫通箭的攻擊力。","ボウガンの貫通弾または弓の貫通矢の攻撃力が上がる。","Increases the attack power of Piercing Ammo and Piercing-type arrows.","1","小幅提升貫通彈、貫通箭的威力。","貫通弾、貫通矢の威力をわずかにUP。","Slightly increases the power of Piercing Ammo and Piercing-type arrows."
"貫通彈・貫通箭強化","貫通弾・貫通矢強化","Pierce Up","提升弩槍貫通彈或是弓的貫通箭的攻擊力。","ボウガンの貫通弾または弓の貫通矢の攻撃力が上がる。","Increases the attack power of Piercing Ammo and Piercing-type arrows.","2","提升貫通彈、貫通箭的威力。","貫通弾、貫通矢の威力UP。","Increases the power of Piercing Ammo and Piercing-type arrows."
"貫通彈・貫通箭強化","貫通弾・貫通矢強化","Pierce Up","提升弩槍貫通彈或是弓的貫通箭的攻擊力。","ボウガンの貫通弾または弓の貫通矢の攻撃力が上がる。","Increases the attack power of Piercing Ammo and Piercing-type arrows.","3","大幅提升貫通彈、貫通箭的威力。","貫通弾、貫通矢の威力をさらにUP。","Greatly increases the power of Piercing Ammo and Piercing-type arrows."
"散彈・擴散箭強化","散弾・拡散矢強化","Spread Up","提升弩槍散彈、放射彈或是弓的擴散箭的攻擊力。","ボウガンの散弾、放散弾または弓の拡散矢の攻撃力が上がる。","Increases the attack power of Spread Ammo and Spread- type arrows","1","小幅提升散彈、 放射彈、擴散箭的威力。","散弾、放散弾、拡散矢の威力をわずかにUP。","Slightly increases the power of Spread Ammo, Shrapnel Ammo, and Spread-type arrows."
"散彈・擴散箭強化","散弾・拡散矢強化","Spread Up","提升弩槍散彈、放射彈或是弓的擴散箭的攻擊力。","ボウガンの散弾、放散弾または弓の拡散矢の攻撃力が上がる。","Increases the attack power of Spread Ammo and Spread- type arrows","2","提升散彈、 放射彈、擴散箭的威力。","散弾、放散弾、拡散矢の威力UP。","Increases the power of Spread Ammo, Shrapnel Ammo, and Spread-type arrows."
